Method	GPS	TP	FP	FN	TN	PREC	REC	F1
GSA	20	0	0	50	950	0	0	0
GSA	20	0	0	50	950	0	0	0
GSA	20	0	0	50	950	0	0	0
GSA	20	0.02	0	49.98	950	1	0.0004	0.00079968012794882
GSA	20	0	0	50	950	0	0	0
GSA	20	0.02	0	49.98	950	1	0.0004	0.00079968012794882
GSA	20	0.02	0	49.98	950	1	0.0004	0.00079968012794882
GSA	20	0.46	0.02	49.54	949.98	0.9583333	0.0092	0.0182250396136236
GSA	20	0	0	50	950	0	0	0
GSA	20	0.06	0.02	49.94	949.98	0.75	0.0012	0.0023961661341853
GSA	20	0.56	0.02	49.44	949.98	0.9655172	0.0112	0.0221431395699799
GSA	20	1.4	0.12	48.6	949.88	0.9210526	0.028	0.0543478260319818
GSA	20	0.04	0	49.96	950	1	0.0008	0.00159872102318145
GSA	20	0.24	0.04	49.76	949.96	0.8571429	0.0048	0.00954653938213309
GSA	20	1.9	0.02	48.1	949.98	0.9895833	0.038	0.0731895222508968
GSA	20	19.56	0.48	30.44	949.52	0.9760479	0.3912	0.558537977611814
GSA	20	0.14	0.02	49.86	949.98	0.875	0.0028	0.00558213716108453
GSA	20	0.52	0.06	49.48	949.94	0.8965517	0.0104	0.0205614867473097
GSA	20	16.04	0.42	33.96	949.58	0.9744836	0.3208	0.482696359129383
GSA	20	26.24	0.76	23.76	949.24	0.9718519	0.5248	0.681558453398549
LAT	20	0	0	50	950	0	0	0
LAT	20	0	0.08	50	949.92	0	0	0
LAT	20	0	0.02	50	949.98	0	0	0
LAT	20	0.02	0.02	49.98	949.98	0.5	0.0004	0.000799360511590727
LAT	20	0	0	50	950	0	0	0
LAT	20	0.04	0.06	49.96	949.94	0.4	0.0008	0.00159680638722555
LAT	20	0.04	0	49.96	950	1	0.0008	0.00159872102318145
LAT	20	0.04	0	49.96	950	1	0.0008	0.00159872102318145
LAT	20	0.02	0	49.98	950	1	0.0004	0.00079968012794882
LAT	20	0.04	0.02	49.96	949.98	0.6666667	0.0008	0.00159808230133428
LAT	20	0.06	0	49.94	950	1	0.0012	0.00239712345185777
LAT	20	0.02	0	49.98	950	1	0.0004	0.00079968012794882
LAT	20	0.06	0	49.94	950	1	0.0012	0.00239712345185777
LAT	20	0.04	0.02	49.96	949.98	0.6666667	0.0008	0.00159808230133428
LAT	20	0.06	0	49.94	950	1	0.0012	0.00239712345185777
LAT	20	0.02	0	49.98	950	1	0.0004	0.00079968012794882
LAT	20	0.06	0	49.94	950	1	0.0012	0.00239712345185777
LAT	20	0.04	0.02	49.96	949.98	0.6666667	0.0008	0.00159808230133428
LAT	20	0.04	0	49.96	950	1	0.0008	0.00159872102318145
LAT	20	0.02	0	49.98	950	1	0.0004	0.00079968012794882
LTT	20	0.1	1.62	49.9	948.38	0.0581395	0.002	0.00386697594758852
LTT	20	0.2	2.62	49.8	947.38	0.070922	0.004	0.00757288913803689
LTT	20	0.3	3	49.7	947	0.0909091	0.006	0.011257035716976
LTT	20	0.28	2.58	49.72	947.42	0.0979021	0.0056	0.0105940219570424
LTT	20	0.22	1.6	49.78	948.4	0.1208791	0.0044	0.00849093009129216
LTT	20	0.38	2.38	49.62	947.62	0.1376812	0.0076	0.0144048523828272
LTT	20	0.54	2.92	49.46	947.08	0.1560694	0.0108	0.0202020205022611
LTT	20	0.68	2.1	49.32	947.9	0.2446043	0.0136	0.0257673360203529
LTT	20	0.44	1.7	49.56	948.3	0.2056075	0.0088	0.0168776372095193
LTT	20	0.58	2.2	49.42	947.8	0.2086331	0.0116	0.0219780220139479
LTT	20	1.18	2.88	48.82	947.12	0.2906404	0.0236	0.0436551979949109
LTT	20	1.08	1.68	48.92	948.32	0.3913043	0.0216	0.0409401058792558
LTT	20	0.62	1.74	49.38	948.26	0.2627119	0.0124	0.0236822002974062
LTT	20	0.84	2.12	49.16	947.88	0.2837838	0.0168	0.0317220544819781
LTT	20	1.6	2.4	48.4	947.6	0.4	0.032	0.0592592592592593
LTT	20	1.14	1.44	48.86	948.56	0.4418605	0.0228	0.0433624954133179
LTT	20	0.9	1.66	49.1	948.34	0.3515625	0.018	0.0342465753424658
LTT	20	0.96	1.96	49.04	948.04	0.3287671	0.0192	0.0362811789965201
LTT	20	1.58	1.96	48.42	948.04	0.4463277	0.0316	0.0590212926348483
LTT	20	1.12	1.04	48.88	948.96	0.5185185	0.0224	0.0429447852125597
LAW	20	0	0	50	950	0	0	0
LAW	20	0	0	50	950	0	0	0
